category,title,link,retention,total,on_site,off_site,remarks,is_template,is_visible
Disaster/Cost Recovery Documentation,"Covers all documents relating to emergency disaster for cost recovery programs and activities, including project worksheet files (applies to all financial and programmatic records, supporting documents, statistical records, and other records of grantees or sub-grantees for FEMA and CEMA grants...)",,2 - Current,3 years from date of project closing.,3 years from date of project closing.,,"Controller's Retention Schedule; 44 CFR Section 13.42 and Title 19 California Code of Regulations Section 2980 (e).  Any and all records relating to costs incurred during an emergency or disaster must be retained for cost recovery documentation in accordance with the Code of Federal Regulations 44 CFR Section 13.42.   Records shall be retained for three (3) years from the date the Project Worksheet file is officially closed by receipt of a closure letter from the State of California (unless any litigation, claim, negotiation, audit or other action involving the records has been started before the expiration of the 3-year period. The records must be retained until completion of the action and resolution of all issues which arise from it, or until the end of the regular 3-year period, whichever is later.) Note:  State and Federal regulations change from time-to-time, the Controller's Office will issue specific rules for file retention on any given disaster, should there be a change. California State regulations (Title 19 California Code of Regulations Section 2980 (e)) Specify an identical record retention period of 3 years from the close of the Project Worksheet file.",true,Visible
City Accounting,Comprehensive Annual Financial Report (CAFR): Annual Financial Statements of City Departments that are part of the City's CAFR,,2 - Current,7 years,7 years - May be stored electronically,,Controller's Retention Schedule; Admin Code Section 8.3,true,Visible
City Accounting,Internal Revenue Service (IRS) 1099 Vendor Reports,,2 - Current,"7 years - From the date 1099s are due to the IRS.",7 years,,Controller's Retention Schedule; Admin Code Section  8.3. ,true,Visible
City Accounting,Stop Payment Notices to City's Contractors,,2 - Current,5 years - After resolution of issue.,2 years - After resolution of issue.,3 years - After resolution of issue.,Controller's Retention Schedule;;Admin Code Section  8.3. The years are measured by the end of the fiscal year.,true,Visible
City Accounting,W9s for Vendors,,2 - Current,"7 years - From the date W9 is filed.",7 years - From the date the W9 is filed. ,,Controller's Retention Schedule; Admin Code Section  8.3. ,true,Visible
City Audits,Audit Work papers and Supporting Documents for Audit Reports,,2 - Current,7 years ,7 years - Stored electronically,,Controller's Retention Schedule; Admin Code Section  8.3,true,Visible
City Budget and Analysis,Department Budget Submission Documents,,2 - Current,5 years,5 years - Stored electronically.,,Controller's Retention Schedule; Admin Code Section  8.3. ,true,Visible
City Budget and Analysis,Health and Welfare Realignment - Related Reports and Schedules,,2 - Current,5 years,5 years - Stored electronically.,,Controller's Retention Schedule; Admin Code Section  8.3,true,Visible
City Budget and Analysis,Revenue Certification Letters,,2 - Current,10 years,10 years - Stored electronically.,,Controller's Retention Schedule; Admin Code Section  8.3. ,true,Visible
City Budget and Analysis,State Mandated Program Audits (SB-90),,2 - Current,7 years,7 years - May be stored electronically.,,Controller's Retention Schedule; Admin Code Section  8.3,true,Visible
